pressure,tenperature,wind_speed,wind_direction,sunshine,precipitation_bracket
876,20.4,3.7,180,0,<20cm
876,20,3.6,180,0,<20cm
877,19.7,2.4,180,0,<20cm
878,19.6,2.7,180,0,<20cm
878,19.5,2.6,180,0,<20cm
981,21.4,0.7,170,0,<20cm
981,21.2,0.1,0,0,<20cm
981,21,0.3,160,0,<20cm
981,20.8,0,0,0,<20cm
980,20.4,1.1,10,0,<20cm
980,20,0,0,0,<20cm
978,19.9,0.9,10,0,<20cm
978,20,0.4,70,0,<20cm
978,20.2,0.5,30,0,<20cm
978,20.2,0,0,0,<20cm
978,19.8,0,0,0,<20cm
978,20.1,0,0,0,<20cm
978,20.4,0.5,30,0,<20cm
977,21.9,0,0,0,<20cm
977,24.4,0.2,0,0.4,<20cm
977,24.6,0,0,0,<20cm
977,23.8,0,0,0.1,<20cm
975,23.4,0,0,0,<20cm
975,22.9,0.2,0,0,<20cm
973,22.8,0,0,0,<20cm
973,21.8,0,0,0,<20cm
972,21.4,0.1,0,0,<20cm
972,21.2,0,0,0,<20cm
971,20.9,0.8,180,0,<20cm
971,20,0,330,0,<20cm
970,20.1,0,0,0,<20cm
969,20.4,0,0,0,<20cm
968,20.1,0,0,0,<20cm
968,18.9,0,0,0,<20cm
968,18.6,0.1,0,0,<20cm
967,18.8,1.5,160,0,<20cm
967,19,1.7,180,0,<20cm
967,19.4,2.2,180,0,<20cm
967,19.9,2.3,190,0,<20cm
966,20.2,3.9,180,0,<20cm
968,20.2,3.9,180,0,<20cm
969,20.3,3.4,190,0,<20cm
970,19.8,3.7,180,0,<20cm
973,19.9,3.3,190,0,<20cm
974,20.2,2,200,0,<20cm
974.5,20,1.9,200,0,<20cm
975,19.7,1.8,190,0,<20cm
975,20.2,1.2,210,0,>=20cm
976,20,3.4,190,0,<20cm
976,19.9,2.6,190,0,<20cm
977,19.8,3.3,190,0,<20cm
978,19.4,3.8,180,0,<20cm
979,19.6,3.9,180,0,<20cm
979,19.6,3.7,180,0,<20cm
985,20.7,0.1,0,0,<20cm
985,20.7,0.5,157.5,0,<20cm
985,20.5,0.9,180,0,<20cm
984,21,0,0,0,<20cm
983,20.2,0.4,22.5,0,<20cm
983,20.2,0,0,0,<20cm
982,20.3,0,0,0,<20cm
982,20.5,1.1,360,0,<20cm
982,20.3,0.3,360,0,<20cm
982,20,0,0,0,<20cm
981,19.6,0.6,22.5,0,<20cm
981,20.1,0.3,22.5,0,<20cm
982,20.6,0,0,0,<20cm
982,23.4,0,0,0.3,<20cm
982,25.6,0,0,1,<20cm
982,23.9,0,0,0.1,<20cm
981,24,0,0,0,<20cm
979,25.6,0,0,0.4,<20cm
979,25.4,0,0,0.7,<20cm
978,23.5,0.1,0,0,<20cm
977,22.8,0,0,0,<20cm
977,21.8,0,0,0,<20cm
977,21.4,0,0,0,<20cm
977,21.3,0.1,0,0,<20cm
978,20.7,0.1,0,0,<20cm
978,20.7,0,0,0,<20cm
977,20.2,0.2,0,0,<20cm
977,20.7,0,0,0,<20cm
976,20,1.2,360,0,<20cm
976,19.7,0.8,22.5,0,<20cm
975,20,0.1,0,0,<20cm
974,20.1,0,0,0,<20cm
974,20.6,0,0,0,<20cm
973,21.5,1.1,360,0,<20cm
973,20.7,0.1,0,0,<20cm
973,19.8,0,0,0,<20cm
973,19.1,0,0,0,<20cm
973,20.6,0.7,45,0,<20cm
973,19.8,0,0,0,<20cm
971,18.5,0.3,135,0,<20cm
970,18.3,1.4,22.5,0,<20cm
969,18.4,1.2,22.5,0,<20cm
967,18.3,0.1,0,0,<20cm
968,18.4,0,0,0,<20cm
967,18.4,0.6,22.5,0,<20cm
965,18.4,1.6,22.5,0,<20cm
964,18.4,1.9,22.5,0,<20cm
964,18.4,2.1,22.5,0,<20cm
964,18.5,1.6,22.5,0,<20cm
962,18.5,1.5,22.5,0,<20cm
962,18.6,1.5,22.5,0,<20cm
960,18.5,1.1,22.5,0,<20cm
959,18.6,1.1,22.5,0,<20cm
959,18.6,1.5,22.5,0,<20cm
960,18.6,0.1,0,0,<20cm
961,18.5,0.4,180,0,<20cm
961,18.7,0.1,0,0,<20cm
962,18.9,0.6,180,0,<20cm
964,19.4,0.3,315,0,<20cm
965,19,0.4,45,0,<20cm
967,18.9,1,247.5,0,<20cm
970,18.3,1.1,67.5,0,<20cm
972,17.9,1.6,45,0,<20cm
974,17.1,1.1,360,0,<20cm
975,16.8,0.9,90,0,<20cm
975,16.7,0.9,90,0,<20cm
975,16.8,0.5,90,0,<20cm
976,16.7,0.2,0,0,<20cm
977,16.5,0.4,45,0,<20cm
977,16.2,0.6,67.5,0,<20cm
978,16.2,0.4,45,0,<20cm
978,16.2,0.9,22.5,0,<20cm
979,16.1,0,0,0,<20cm
980,16,0,0,0,<20cm
980,16,0,0,0,<20cm
980,16.2,1,157.5,0,<20cm
980,17,1.9,157.5,0,<20cm
980,16.6,0.8,180,0,<20cm
980,16.7,0,0,0,<20cm
980,19.3,0,0,0,<20cm
980,19,0,0,0,<20cm
981,19.7,0,0,0,<20cm
981,20.4,0.1,0,0,<20cm
981,21.3,0.7,0,0,<20cm
981,23.7,1.2,170,0.6,<20cm
982,26.8,0.7,180,0.8,<20cm
982,23.8,0,0,0.5,<20cm
981,25.4,0,0,0.2,<20cm
980,23.9,0,0,0.1,<20cm
980,22.3,0.5,0,0.1,<20cm
979,21.5,0.9,10,0,<20cm
978,20.9,0.2,0,0,<20cm
979,20.7,1,50,0,<20cm
980,20.7,1.3,70,0,<20cm
980,20.2,0.9,10,0,<20cm
980,20.2,1.4,20,0,<20cm
980,20.2,0.8,70,0,<20cm
980,20.4,0.9,50,0,<20cm
980,20,0.1,0,0,<20cm
979,20.4,0,0,0,<20cm
979,19.9,0.1,0,0,<20cm
978,19.6,0.6,350,0,<20cm
978,19.7,0,0,0,<20cm
979,19.6,1,20,0,<20cm
979,19.6,0,0,0,<20cm
979,20.1,0,0,0,<20cm
979,21.3,0,0,0,<20cm
979,22.5,0,0,0,<20cm
979,23.6,0,0,0.1,<20cm
979,23.7,0,0,0,<20cm
978,23.5,0,0,0.1,<20cm
977,23.5,0,0,0,<20cm
976,22.2,0,0,0,<20cm
976,22.6,0,0,0,<20cm
975,22.1,0,0,0,<20cm
975,21.9,0.5,20,0,<20cm
975,21.7,0,0,0,<20cm
975,21.7,0.4,300,0,<20cm
975,21.1,0.1,0,0,<20cm
975,21.1,0.6,190,0,<20cm
974,21.2,0,0,0,<20cm
973,21.4,0.9,180,0,<20cm
973,21,1,110,0,<20cm
973,21,0.9,220,0,<20cm
973,21.1,0.9,330,0,<20cm
972,21.4,1.7,310,0,>=20cm
973,21.1,0.9,280,0,<20cm
974,21,1.6,190,0,<20cm
975,20.7,2.2,200,0,>=20cm
977,20.2,1.7,200,0,<20cm
978,20.4,3.7,190,0,<20cm
978,20.6,3.4,190,0,>=20cm
979,20.2,2.5,200,0,<20cm
980,20.4,2.8,190,0,<20cm
981,19.6,2.7,190,0,<20cm
981,19.4,3.1,180,0,<20cm
981,19.2,2.6,180,0,<20cm
981,19.3,2.6,180,0,<20cm
980,19,2.4,170,0,<20cm
980,19.1,2.2,170,0,<20cm
980,19.1,3.1,170,0,<20cm
982,18.9,2.7,170,0,<20cm
983,18.8,2.5,170,0,<20cm
983,19.2,2.2,170,0,<20cm
983,18.7,2.7,170,0,<20cm
984,18.7,1.8,170,0,<20cm
983,18.6,2.3,170,0,<20cm
983,18.5,2.1,170,0,<20cm
982,18.7,1.9,170,0,<20cm
982,18.4,2.4,180,0,<20cm
983,18.9,1.6,170,0,<20cm
982,18.9,2,170,0,<20cm
983,18.9,2,170,0,<20cm
982,19.2,2.1,170,0,<20cm
983,19.6,2.3,170,0,<20cm
983,21.2,1.8,170,0,<20cm
984,22.9,1.7,170,0,<20cm
984,24.7,0.7,180,0.2,<20cm
983,26.5,0.5,190,0.3,<20cm
984,23.5,0.2,0,0.6,<20cm
982,22.4,1.1,170,0,<20cm
980,24.5,0.1,0,0.8,<20cm
979,22.7,0.3,290,0.7,<20cm
979,21.3,0,0,0.1,<20cm
979,19.8,0.3,20,0,<20cm
980,19.2,1.1,70,0,<20cm
980,19.1,1.2,80,0,<20cm
981,18.9,0.6,80,0,<20cm
981,20.2,0,0,0,<20cm
981,20.1,0.2,0,0,<20cm
981,19.4,0,0,0,<20cm
981,19.2,0.3,190,0,<20cm
980,19,0,0,0,<20cm
980,20,0,0,0,<20cm
980,19.5,0,0,0,<20cm
980,18.4,0,0,0,<20cm
981,18.1,0,0,0,<20cm
981,18.8,0,0,0,<20cm
982,19.7,0,0,0,<20cm
982,21.2,0,0,0.2,<20cm
983,25,0,0,1,<20cm
983,25.9,0,0,1,<20cm
983,23,0,0,0.8,<20cm
982,24,0.2,0,0.5,<20cm
981,22,0,0,0,<20cm
980,24,0.1,0,0.9,<20cm
981,22.2,0.1,0,0.9,<20cm
981,21.3,0,0,0.1,<20cm
981,19.8,0.7,360,0,<20cm
981,18.8,0,0,0,<20cm
981,18.7,0,0,0,<20cm
982,18.7,0.6,10,0,<20cm
982,18.7,0,0,0,<20cm
982,18.4,0,0,0,<20cm
981,18.3,0,0,0,<20cm
981,18,0,0,0,<20cm
981,18.1,0,0,0,<20cm
980,17.6,0,0,0,<20cm
980,17.3,0,0,0,<20cm
980,17.2,0,0,0,<20cm
980,17.2,0,0,0,<20cm
981,17.7,0,0,0,<20cm
982,19,0,0,0,<20cm
982,20.4,0,0,0.2,<20cm
982,23.7,0.1,0,1,<20cm
982,24.3,0,0,1,<20cm
982,23.4,0,0,0.8,<20cm
981,25,0.1,0,0.7,<20cm
980,23.8,0.2,0,0.7,<20cm
980,22.8,0.1,0,0.2,<20cm
980,21.5,0,0,0,<20cm
979,20.9,0,0,0,<20cm
979,19,1.2,10,0,<20cm
980,18.8,0,0,0,<20cm
980,18.8,0,0,0,<20cm
981,18.8,0,0,0,<20cm
981,18.3,0,0,0,<20cm
981,18.8,0.5,180,0,<20cm
981,18.5,0,0,0,<20cm
980,18.1,0,0,0,<20cm
980,18.2,0,0,0,<20cm
979,18.3,0.3,360,0,<20cm
980,18,1.2,10,0,<20cm
979,17.9,0,0,0,<20cm
980,18.1,0,0,0,<20cm
980,18.4,0,0,0,<20cm
980,20.1,0,0,0,<20cm
980,19.9,1.1,40,0,<20cm
